number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,state
0,0.0178995135718381,2020-11-24 15:26:00.554246,2020-11-24 15:31:48.378238,0 days 00:05:47.823992,elu,"[512, 768, 1536, 1792]",0.20006862489040694,0.3813995435791039,0.2880535344902678,0.2554031568612787,0.3117561268266026,COMPLETE
1,0.018772888073864905,2020-11-24 15:31:48.402174,2020-11-24 15:37:25.124676,0 days 00:05:36.722502,elu,"[1024, 768, 1536, 1792]",0.7613234424836193,0.7077865500116103,0.3879641101593651,0.5147288957437228,0.46607173626773407,COMPLETE
2,0.0177103521085204,2020-11-24 15:37:25.147615,2020-11-24 15:43:28.673194,0 days 00:06:03.525579,relu,"[2048, 1792, 1536, 1280]",0.7483772147475398,0.47432288479219303,0.4584191403108251,0.7634766736541756,0.6670335418019202,COMPLETE
3,0.01802534254547403,2020-11-24 15:43:28.697131,2020-11-24 15:49:07.147811,0 days 00:05:38.450680,elu,"[512, 1536, 768, 512]",0.681654502362419,0.25568048518444275,0.5108915293651335,0.7190121511873901,0.6974881444202851,COMPLETE
4,0.017088356298158292,2020-11-24 15:49:07.172782,2020-11-24 15:56:05.204732,0 days 00:06:58.031950,relu,"[2560, 2048, 1524, 1012]",0.30189825173874135,0.7268855020576479,0.25900810029983007,0.45266457500303137,0.7747337180903013,COMPLETE
5,0.01812697956713818,2020-11-24 15:56:05.229666,2020-11-24 16:02:33.870616,0 days 00:06:28.640950,elu,"[2560, 2048, 1524, 1012]",0.6151262683702841,0.3893093786036378,0.6119005566089503,0.7007754031384239,0.21097296640651508,COMPLETE
6,0.0187061752397056,2020-11-24 16:02:33.893555,2020-11-24 16:08:43.518269,0 days 00:06:09.624714,elu,"[2048, 1792, 1536, 1280]",0.7933166533438969,0.6488993926279036,0.36826639523864313,0.6735675970708932,0.2619356039465852,COMPLETE
7,0.018761653055461125,2020-11-24 16:08:43.542205,2020-11-24 16:14:29.734886,0 days 00:05:46.192681,relu,"[1024, 768, 1536, 1792]",0.7451573018558575,0.37616848902420774,0.3726652031518093,0.2780171432709666,0.21162017472217826,COMPLETE
8,0.01801153775318454,2020-11-24 16:14:29.757825,2020-11-24 16:20:17.378374,0 days 00:05:47.620549,elu,"[1024, 768, 1536, 1792]",0.32697686960003547,0.3593279956233357,0.494943895568203,0.23201752707024825,0.5444705632952079,COMPLETE
9,0.017372257163022486,2020-11-24 16:20:17.404305,2020-11-24 16:25:23.008248,0 days 00:05:05.603943,elu,"[512, 448, 384, 320]",0.26140065729669554,0.44843359269174105,0.6166400946366472,0.44850756171614165,0.2299720753676523,COMPLETE
10,0.017651258988115554,2020-11-24 16:25:23.031186,2020-11-24 16:30:53.362467,0 days 00:05:30.331281,relu,"[1024, 1024, 1024, 1024]",0.42566839751934676,0.776255609685865,0.7830218365484739,0.4514835947007015,0.7965857743251362,COMPLETE
11,0.01694599476473361,2020-11-24 16:30:53.389422,2020-11-24 16:35:54.405141,0 days 00:05:01.015719,relu,"[512, 448, 384, 320]",0.20423876957309364,0.5803618555459668,0.6930075777302519,0.4345594889672457,0.41169835145315037,COMPLETE
12,0.01727011140399406,2020-11-24 16:35:54.431072,2020-11-24 16:40:56.377480,0 days 00:05:01.946408,relu,"[512, 448, 384, 320]",0.38204002253473185,0.5774241147061646,0.7388914888171724,0.569737175912736,0.40023770382753415,COMPLETE
13,0.017117107140179486,2020-11-24 16:40:56.403429,2020-11-24 16:47:25.266307,0 days 00:06:28.862878,relu,"[2560, 2048, 1524, 1012]",0.2018982713105127,0.6011684141553875,0.23026648225727003,0.35349183556741764,0.5688066774335752,COMPLETE
14,0.017833676312997232,2020-11-24 16:47:25.290267,2020-11-24 16:52:58.344287,0 days 00:05:33.054020,relu,"[1024, 1536, 768, 1792]",0.5166596915393373,0.7839655536774132,0.7065205646855415,0.36463087037874153,0.3799899346783993,COMPLETE
15,0.017438507177331582,2020-11-24 16:52:58.369220,2020-11-24 16:58:50.282228,0 days 00:05:51.913008,relu,"[1024, 896, 768, 640]",0.2752993033406783,0.6966901819390905,0.610410987063623,0.6001268494912315,0.7999189427240387,COMPLETE
16,0.01685144604762487,2020-11-24 16:58:50.305141,2020-11-24 17:04:26.598702,0 days 00:05:36.293561,relu,"[512, 512, 512, 512]",0.49940535787062906,0.54405433281706,0.21297044371807636,0.3771669029653676,0.4469533458827517,COMPLETE
17,0.016972995829634553,2020-11-24 17:04:26.624633,2020-11-24 17:09:51.641898,0 days 00:05:25.017265,relu,"[512, 512, 512, 512]",0.5367119804404392,0.5181651624728113,0.6754164847366179,0.3461264482444362,0.45113510823428427,COMPLETE
18,0.01704658397185062,2020-11-24 17:09:51.667828,2020-11-24 17:14:55.238951,0 days 00:05:03.571123,relu,"[512, 512, 512, 512]",0.4512276985638401,0.558158522367593,0.7902210659205698,0.3073338478929539,0.34069862660596123,COMPLETE
19,0.017370782728701836,2020-11-24 17:14:55.264908,2020-11-24 17:19:54.303639,0 days 00:04:59.038731,relu,"[512, 448, 384, 320]",0.5891915520241986,0.6366290714919383,0.5268030462627298,0.41709825691018587,0.5148354994799703,COMPLETE
20,0.01692815618127778,2020-11-24 17:19:54.329570,2020-11-24 17:24:56.095493,0 days 00:05:01.765923,relu,"[512, 512, 512, 512]",0.3859754289167413,0.5219169955033994,0.30082238288070773,0.5303117412348093,0.6085422066545569,COMPLETE
21,0.01685599604541599,2020-11-24 17:24:56.120427,2020-11-24 17:29:57.733620,0 days 00:05:01.613193,relu,"[512, 512, 512, 512]",0.37062683679247366,0.5334576888823666,0.20312576090119616,0.5230764094267493,0.6003817826032949,COMPLETE
22,0.016867720937098738,2020-11-24 17:29:57.758581,2020-11-24 17:34:57.234541,0 days 00:04:59.475960,relu,"[512, 512, 512, 512]",0.3717859405478048,0.5087170205898653,0.20304127880275533,0.5352105660964948,0.6096875838042679,COMPLETE
23,0.017019212600737813,2020-11-24 17:34:57.259475,2020-11-24 17:39:58.803005,0 days 00:05:01.543530,relu,"[512, 512, 512, 512]",0.46301943219023367,0.44183087797083653,0.21357674248759265,0.6071166189281061,0.6161584793929233,COMPLETE
24,0.01695992946362253,2020-11-24 17:39:58.828936,2020-11-24 17:45:00.418470,0 days 00:05:01.589534,relu,"[512, 512, 512, 512]",0.36560315844455377,0.5044413642489981,0.20105406816928784,0.5510354639959288,0.6798993659232729,COMPLETE
25,0.017524367338664054,2020-11-24 17:45:00.446395,2020-11-24 17:50:01.999742,0 days 00:05:01.553347,relu,"[512, 512, 512, 512]",0.4893833472443878,0.6393050732428108,0.306836731384965,0.6360759570683742,0.7359455583497292,COMPLETE
26,0.016807183369893862,2020-11-24 17:50:02.025647,2020-11-24 17:55:03.124085,0 days 00:05:01.098438,relu,"[512, 512, 512, 512]",0.4257294761656303,0.3041896026190838,0.2011796255730334,0.5096439609853355,0.619858391805771,COMPLETE
27,0.017544984993900222,2020-11-24 17:55:03.149018,2020-11-24 18:00:43.642226,0 days 00:05:40.493208,relu,"[1024, 1536, 768, 1792]",0.5702550542363308,0.23744143197021422,0.2575365105915402,0.4941257708012096,0.4971286982368096,COMPLETE
28,0.01682264534315054,2020-11-24 18:00:43.669149,2020-11-24 18:06:13.480942,0 days 00:05:29.811793,relu,"[512, 1536, 768, 512]",0.42106052854239945,0.29337516440296035,0.3360457827199296,0.39502206362611825,0.570454041706959,COMPLETE
29,0.01686108427287394,2020-11-24 18:06:13.509840,2020-11-24 18:11:26.838434,0 days 00:05:13.328594,relu,"[512, 1536, 768, 512]",0.426357948598319,0.29547909037720366,0.32331997725846234,0.39112079517864456,0.5501641601678903,COMPLETE
30,0.01755299466845,2020-11-24 18:11:26.862370,2020-11-24 18:17:13.736786,0 days 00:05:46.874416,relu,"[512, 768, 1536, 1792]",0.641375396328272,0.3339786702523949,0.26235814273326086,0.3002712456358346,0.6468905427292151,COMPLETE
31,0.016916695781093265,2020-11-24 18:17:13.763740,2020-11-24 18:23:01.348837,0 days 00:05:47.585097,relu,"[512, 1536, 768, 512]",0.4914458208382976,0.4151136305165505,0.3284895289632783,0.47588272761330985,0.5811256420519761,COMPLETE
32,0.016830284675542224,2020-11-24 18:23:01.374741,2020-11-24 18:28:49.446721,0 days 00:05:48.071980,relu,"[512, 1536, 768, 512]",0.41950092763583097,0.2983783667385325,0.23906134508391863,0.39654052653315636,0.4671383972588965,COMPLETE
33,0.016719324953393497,2020-11-24 18:28:49.469660,2020-11-24 18:34:38.316528,0 days 00:05:48.846868,relu,"[512, 1536, 768, 512]",0.4218872955246011,0.20379992590043383,0.4474611559395676,0.202904449021454,0.46406059772924696,COMPLETE
34,0.016779021789950204,2020-11-24 18:34:38.340437,2020-11-24 18:40:28.074010,0 days 00:05:49.733573,relu,"[512, 1536, 768, 512]",0.40933688130306617,0.28277369572471,0.4456183087215809,0.24253755405044763,0.49848958570319735,COMPLETE
35,0.016643102044846553,2020-11-24 18:40:28.099965,2020-11-24 18:46:12.313922,0 days 00:05:44.213957,relu,"[512, 1536, 768, 512]",0.3246594908284598,0.20065361895925987,0.4081894628974021,0.20751343656650256,0.5000916917366219,COMPLETE
36,0.01664236245388507,2020-11-24 18:46:12.339278,2020-11-24 18:51:59.301504,0 days 00:05:46.962226,relu,"[512, 1536, 768, 512]",0.32990857259276385,0.2011278775728585,0.4319368017151429,0.22785794750421381,0.5207530761239774,COMPLETE
37,0.01664623579304181,2020-11-24 18:51:59.325905,2020-11-24 18:57:46.304898,0 days 00:05:46.978993,relu,"[512, 1536, 768, 512]",0.32606018148979965,0.22668698379874816,0.4340209163042551,0.2051552876001285,0.5016420815576386,COMPLETE
38,0.01713976785141894,2020-11-24 18:57:46.356785,2020-11-24 19:03:37.727518,0 days 00:05:51.370733,elu,"[512, 1536, 768, 512]",0.32271387935457596,0.2122899643506266,0.43730738964506055,0.21876574706572408,0.5125983582008184,COMPLETE
39,0.01666714304600877,2020-11-24 19:03:37.751686,2020-11-24 19:09:28.330512,0 days 00:05:50.578826,relu,"[512, 1536, 768, 512]",0.2587917453880317,0.207996156858248,0.4062526903554169,0.2015521547766663,0.42192125213824616,COMPLETE
40,0.017059917400507857,2020-11-24 19:09:28.357877,2020-11-24 19:15:18.050732,0 days 00:05:49.692855,elu,"[512, 1536, 768, 512]",0.23119707522588767,0.24579649158237185,0.3879242810366116,0.2673853484755521,0.30284400769663816,COMPLETE
41,0.01669775098963038,2020-11-24 19:15:18.074010,2020-11-24 19:21:04.471773,0 days 00:05:46.397763,relu,"[512, 1536, 768, 512]",0.33710572102153175,0.20026220214678533,0.42716500141400715,0.20031728068203844,0.419602946512573,COMPLETE
42,0.016730049791318168,2020-11-24 19:21:04.496974,2020-11-24 19:26:48.027611,0 days 00:05:43.530637,relu,"[512, 1536, 768, 512]",0.28952122608742276,0.20557627919613292,0.4108718909767215,0.2019408342811425,0.36901621296943166,COMPLETE
43,0.017298297018430567,2020-11-24 19:26:48.054864,2020-11-24 19:33:55.469530,0 days 00:07:07.414666,relu,"[2048, 1792, 1536, 1280]",0.33796236718558126,0.225593317422234,0.481177749538603,0.20232337602030326,0.42716365207665535,COMPLETE
44,0.01673442905881167,2020-11-24 19:33:55.492907,2020-11-24 19:39:13.490543,0 days 00:05:17.997636,relu,"[512, 1536, 768, 512]",0.23847404988292792,0.2575094046910713,0.5387929224125624,0.25478122770356443,0.4802605281271489,COMPLETE
45,0.017123358601530508,2020-11-24 19:39:13.514480,2020-11-24 19:44:42.633914,0 days 00:05:29.119434,relu,"[1024, 1024, 1024, 1024]",0.31474280419009076,0.200431636183548,0.4216790295649126,0.789929133248923,0.42741984423682244,COMPLETE
46,0.016679939256506866,2020-11-24 19:44:42.659068,2020-11-24 19:50:22.472499,0 days 00:05:39.813431,relu,"[512, 1536, 768, 512]",0.2501446659392927,0.2654480839570922,0.36353958593963986,0.30288757071430333,0.5307135015443761,COMPLETE
47,0.01682350121885435,2020-11-24 19:50:22.498678,2020-11-24 19:56:11.462515,0 days 00:05:48.963837,relu,"[1024, 896, 768, 640]",0.24075839840348884,0.2666839097520626,0.3574342283721472,0.2950669243876257,0.5213124165284543,COMPLETE
48,0.017882750256459905,2020-11-24 19:56:11.489615,2020-11-24 20:02:30.560392,0 days 00:06:19.070777,elu,"[1024, 768, 1536, 1792]",0.26881213162888523,0.3341995844478889,0.4675806350607206,0.32012030670310343,0.5338244274339484,COMPLETE
49,0.01749478351321208,2020-11-24 20:02:30.587320,2020-11-24 20:08:43.164271,0 days 00:06:12.576951,relu,"[512, 768, 1536, 1792]",0.20457212720831175,0.2281743005181958,0.4018672532462744,0.23298379882469566,0.542873413835057,COMPLETE
50,0.01672111104259439,2020-11-24 20:08:43.193194,2020-11-24 20:14:17.246066,0 days 00:05:34.052872,relu,"[512, 1536, 768, 512]",0.2955582356313313,0.32725728931911163,0.35444602671989345,0.26194142914184376,0.4848391429466072,COMPLETE
51,0.01675207417813274,2020-11-24 20:14:17.270999,2020-11-24 20:20:08.634732,0 days 00:05:51.363733,relu,"[512, 1536, 768, 512]",0.3443899595943021,0.262173955736524,0.39196991343827636,0.2226621561037535,0.3817178021123175,COMPLETE
52,0.01668186622373177,2020-11-24 20:20:08.658668,2020-11-24 20:26:01.079039,0 days 00:05:52.420371,relu,"[512, 1536, 768, 512]",0.347608185730804,0.2049847326489393,0.5047426028161618,0.3291858686886432,0.42983785578369577,COMPLETE
53,0.01670430671741367,2020-11-24 20:26:01.102976,2020-11-24 20:31:52.127239,0 days 00:05:51.024263,relu,"[512, 1536, 768, 512]",0.29874011424558977,0.22879074520552567,0.563663235055506,0.3303486770082382,0.45216890339612326,COMPLETE
54,0.017223495817518548,2020-11-24 20:31:52.153170,2020-11-24 20:38:55.247777,0 days 00:07:03.094607,relu,"[2560, 2048, 1524, 1012]",0.258596368113353,0.27507895835031426,0.4986079705885322,0.2898118511622787,0.3953135936238128,COMPLETE
55,0.016675907564213548,2020-11-24 20:38:55.272711,2020-11-24 20:44:29.378289,0 days 00:05:34.105578,relu,"[512, 1536, 768, 512]",0.22601189533041055,0.24188964792734075,0.3748333894464598,0.2692096480737126,0.3344559186813318,COMPLETE
56,0.01676429182241714,2020-11-24 20:44:29.403222,2020-11-24 20:50:20.823288,0 days 00:05:51.420066,relu,"[512, 1536, 768, 512]",0.22502221574608167,0.24812513652330923,0.37579158718163413,0.2466577675800869,0.2371070560290539,COMPLETE
57,0.017381077529587563,2020-11-24 20:50:20.850217,2020-11-24 20:56:47.000696,0 days 00:06:26.150479,relu,"[2048, 1792, 1536, 1280]",0.2007168270049895,0.3566358273932908,0.4711639234305023,0.2826229949428617,0.30070881497013485,COMPLETE
58,0.01716048820445888,2020-11-24 20:56:47.025630,2020-11-24 21:02:18.393677,0 days 00:05:31.368047,relu,"[1024, 1024, 1024, 1024]",0.25907377450452207,0.22408293197915102,0.3480673773227564,0.21694439903894852,0.34132993280906576,COMPLETE
59,0.016705119892380896,2020-11-24 21:02:18.425591,2020-11-24 21:07:40.077672,0 days 00:05:21.652081,relu,"[512, 1536, 768, 512]",0.2853243472904702,0.2501457223318898,0.38245653725276707,0.2667734835351232,0.34095004335549467,COMPLETE
60,0.017383751846435584,2020-11-24 21:07:40.101608,2020-11-24 21:13:22.145776,0 days 00:05:42.044168,relu,"[1024, 1536, 768, 1792]",0.3106421804898637,0.31172890717945456,0.40081844585051357,0.23700668482704976,0.5534592835578466,COMPLETE
61,0.01669780843179272,2020-11-24 21:13:22.173701,2020-11-24 21:18:42.001354,0 days 00:05:19.827653,relu,"[512, 1536, 768, 512]",0.3476714494445451,0.20082469664040598,0.5289891474838502,0.3247524100153022,0.4403445983823034,COMPLETE
62,0.016852067421000764,2020-11-24 21:18:42.031248,2020-11-24 21:24:17.232787,0 days 00:05:35.201539,relu,"[512, 1536, 768, 512]",0.39185832938121384,0.21959750527819039,0.48810526986938685,0.3526001353502433,0.5146684240928393,COMPLETE
63,0.016652738501824138,2020-11-24 21:24:17.260739,2020-11-24 21:30:05.856713,0 days 00:05:48.595974,relu,"[512, 1536, 768, 512]",0.25422741631484375,0.2686781197664655,0.5650704690787016,0.27162754531430244,0.4850303782668078,COMPLETE
64,0.01683926547082908,2020-11-24 21:30:05.884638,2020-11-24 21:35:59.955780,0 days 00:05:54.071142,relu,"[1024, 896, 768, 640]",0.21498906296217357,0.27071814945517053,0.5816817278552775,0.2834825268883609,0.47339221434995993,COMPLETE
65,0.016680549099170324,2020-11-24 21:35:59.983706,2020-11-24 21:42:34.360932,0 days 00:06:34.377226,relu,"[512, 1536, 768, 512]",0.24884564881841464,0.23984766924484613,0.46089293760413685,0.22346205493986482,0.4988465010547019,COMPLETE
66,0.01673485258650942,2020-11-24 21:42:34.387832,2020-11-24 21:48:42.266918,0 days 00:06:07.879086,relu,"[512, 448, 384, 320]",0.2813773248268907,0.3197774032687828,0.42892255362494247,0.2530737199418532,0.5883607235913417,COMPLETE
67,0.017525554027027858,2020-11-24 21:48:42.297840,2020-11-24 21:55:53.832315,0 days 00:07:11.534475,relu,"[1024, 768, 1536, 1792]",0.26715577224144627,0.2836584712380277,0.6390762824572535,0.31013628631853907,0.2808586390467038,COMPLETE
68,0.016971874062980327,2020-11-24 21:55:53.860241,2020-11-24 22:02:19.812160,0 days 00:06:25.951919,elu,"[512, 1536, 768, 512]",0.22196220687340834,0.36879874877872576,0.27911183668565903,0.20174190230343922,0.532016099251686,COMPLETE
69,0.01670831074611365,2020-11-24 22:02:19.841112,2020-11-24 22:08:49.971156,0 days 00:06:30.130044,relu,"[512, 1536, 768, 512]",0.3145305086086069,0.4768473962463784,0.3711048335032455,0.2722542028082245,0.6368969273051965,COMPLETE
70,0.017019196407109534,2020-11-24 22:08:49.999081,2020-11-24 22:18:13.317695,0 days 00:09:23.318614,relu,"[2560, 2048, 1524, 1012]",0.24882629929440336,0.3892964383734452,0.4171097591580564,0.23436418085065683,0.5635955682352561,COMPLETE
71,0.01672422207043193,2020-11-24 22:18:13.344617,2020-11-24 22:24:35.389148,0 days 00:06:22.044531,relu,"[512, 1536, 768, 512]",0.24400333657778855,0.23992821957097238,0.4493004534806916,0.2185371822324733,0.48826269792457944,COMPLETE
72,0.016700930087069722,2020-11-24 22:24:35.418071,2020-11-24 22:30:59.300115,0 days 00:06:23.882044,relu,"[512, 1536, 768, 512]",0.2762277566050549,0.23734112580804723,0.45843025848530045,0.21790257205166264,0.5050107476569703,COMPLETE
73,0.016744491094013356,2020-11-24 22:30:59.325047,2020-11-24 22:37:21.409499,0 days 00:06:22.084452,relu,"[512, 1536, 768, 512]",0.3625133704676766,0.25913704999504544,0.5543016913305178,0.25489648638264184,0.4619596583417149,COMPLETE
74,0.016682448346737586,2020-11-24 22:37:21.443409,2020-11-24 22:43:40.661999,0 days 00:06:19.218590,relu,"[512, 1536, 768, 512]",0.21458779358296465,0.21350903321125195,0.5133980828172945,0.20054532108032608,0.5321283506478608,COMPLETE
75,0.016677235527203328,2020-11-24 22:43:40.686932,2020-11-24 22:50:03.602120,0 days 00:06:22.915188,relu,"[512, 1536, 768, 512]",0.25488924200776936,0.2854717711152004,0.3140506321772852,0.23854913030713515,0.40242962920914416,COMPLETE
76,0.01678634782432347,2020-11-24 22:50:03.629048,2020-11-24 22:56:27.854499,0 days 00:06:24.225451,relu,"[512, 1536, 768, 512]",0.2969878009218314,0.2826108971587287,0.3143263582135546,0.24430033802714432,0.3999066768783774,COMPLETE
77,0.018581752409127465,2020-11-24 22:56:27.882424,2020-11-24 23:03:17.192822,0 days 00:06:49.310398,relu,"[512, 768, 1536, 1792]",0.723185439035452,0.30160396316976507,0.29075107836573766,0.30195893138079455,0.32413734207136247,COMPLETE
78,0.016727578979448477,2020-11-24 23:03:17.216758,2020-11-24 23:09:37.338528,0 days 00:06:20.121770,relu,"[512, 1536, 768, 512]",0.3228055020716991,0.34911672480383843,0.33129876292617266,0.27729323677594,0.3751576154211248,COMPLETE
79,0.017402613736979784,2020-11-24 23:09:37.365456,2020-11-24 23:15:17.440887,0 days 00:05:40.075431,relu,"[1024, 1536, 768, 1792]",0.27544811341353553,0.2170490895350396,0.34570990776665766,0.2661815922026381,0.4467568098735997,COMPLETE
80,0.01669626940433037,2020-11-24 23:15:17.465820,2020-11-24 23:20:36.484448,0 days 00:05:19.018628,relu,"[512, 1536, 768, 512]",0.20139531100249253,0.41657533887746157,0.36098716965956607,0.3449044663379375,0.46674414831756345,COMPLETE
81,0.0166537693711503,2020-11-24 23:20:36.508384,2020-11-24 23:25:57.250642,0 days 00:05:20.742258,relu,"[512, 1536, 768, 512]",0.25439469771605616,0.24478033611138453,0.41413980568279457,0.22857956527280282,0.4943794242832997,COMPLETE
82,0.016775429279951556,2020-11-24 23:25:57.275961,2020-11-24 23:31:17.781803,0 days 00:05:20.505842,relu,"[512, 1536, 768, 512]",0.2574722375284578,0.2548735841276701,0.407453663800282,0.2352589960580455,0.41297428434542105,COMPLETE
83,0.016682605988494744,2020-11-24 23:31:17.810028,2020-11-24 23:36:37.821793,0 days 00:05:20.011765,relu,"[512, 1536, 768, 512]",0.23094921455682982,0.29170583936775474,0.43561700463367714,0.20630555104205955,0.3527906890878364,COMPLETE
84,0.016633934576695722,2020-11-24 23:36:37.844994,2020-11-24 23:41:59.418991,0 days 00:05:21.573997,relu,"[512, 1536, 768, 512]",0.30845620423985515,0.23232894208056504,0.38917720005762807,0.255719301444927,0.5179257538076175,COMPLETE
85,0.01666009017655224,2020-11-24 23:41:59.448041,2020-11-24 23:47:22.196856,0 days 00:05:22.748815,relu,"[512, 1536, 768, 512]",0.32983526315306394,0.20020149687112826,0.38930486391967534,0.24839228820671014,0.4867696147728148,COMPLETE
86,0.01720469985994737,2020-11-24 23:47:22.222303,2020-11-24 23:53:42.565824,0 days 00:06:20.343521,relu,"[2048, 1792, 1536, 1280]",0.36044744437899096,0.23067215035153818,0.3976054385731994,0.2112376317149586,0.49308874867389024,COMPLETE
87,0.01670611894344022,2020-11-24 23:53:42.589969,2020-11-24 23:58:55.692622,0 days 00:05:13.102653,relu,"[512, 1536, 768, 512]",0.3325376165956226,0.21204755340536463,0.38301206685773714,0.25905172731376847,0.5181513302522072,COMPLETE
88,0.018017416196032046,2020-11-24 23:58:55.718761,2020-11-25 00:04:17.130580,0 days 00:05:21.411819,elu,"[1024, 1024, 1024, 1024]",0.3928168631121508,0.24517729814746891,0.420601699145923,0.733421095003623,0.4785650212456888,COMPLETE
89,0.016670570060817423,2020-11-25 00:04:17.154877,2020-11-25 00:09:12.895265,0 days 00:04:55.740388,relu,"[512, 448, 384, 320]",0.30832220411349953,0.20110666869502408,0.4467381309359886,0.23025561848382758,0.5572431799075014,COMPLETE
90,0.01707781962749785,2020-11-25 00:09:12.928543,2020-11-25 00:14:10.124649,0 days 00:04:57.196106,relu,"[512, 448, 384, 320]",0.30539003373175616,0.7481611191879564,0.4388614006012552,0.23310227755962093,0.5746495048866853,COMPLETE
91,0.01668872040794227,2020-11-25 00:14:10.150981,2020-11-25 00:19:10.050838,0 days 00:04:59.899857,relu,"[512, 448, 384, 320]",0.3241639153889586,0.20173948741757214,0.410063583687691,0.24666524681062388,0.5554788715900111,COMPLETE
92,0.016607089245302846,2020-11-25 00:19:10.076795,2020-11-25 00:24:05.757315,0 days 00:04:55.680520,relu,"[512, 448, 384, 320]",0.28971908878724656,0.20014819124088584,0.4733416989098421,0.2816187332747976,0.5060271814828317,COMPLETE
93,0.01667265157547046,2020-11-25 00:24:05.781506,2020-11-25 00:29:04.084824,0 days 00:04:58.303318,relu,"[512, 448, 384, 320]",0.3066667493285001,0.2009044643211157,0.48050024982669903,0.22362907049738448,0.5438973206195368,COMPLETE
